GUID,Date (PST),Country,State/Region,City/Urban Area,Category
1018028043867164672,7/14/2018 0:02,Pakistan,Sind,Karachi,Positive
1018028946250719233,7/14/2018 0:06,France,Île-de-France,Paris,Positive
1018029434291421184,7/14/2018 0:08,Philippines,National Capital Region,Manila,Positive
1018029619293847552,7/14/2018 0:09,Egypt,Al Jizah,Cairo,Positive
1018030211508703232,7/14/2018 0:11,Croatia,,,Positive
1018030352382746630,7/14/2018 0:12,Croatia,,,Negative
1018030628401569793,7/14/2018 0:13,Croatia,,,Positive
1018030856185810944,7/14/2018 0:14,Nigeria,Enugu,Enugu,Positive
1018031151045402624,7/14/2018 0:15,South Africa,,,Positive
1018031579229310976,7/14/2018 0:16,United States,,,Positive
1018031989616791553,7/14/2018 0:18,Germany,Niedersachsen,Hannover,Positive
1018032214221688832,7/14/2018 0:19,South Africa,Gauteng,,Positive
1018033936847556608,7/14/2018 0:26,United States,Florida,,Positive
1018033945013837824,7/14/2018 0:26,United Kingdom,Greater London,London,Positive
1018034838266433536,7/14/2018 0:29,Nigeria,,,Positive
1018036213024985088,7/14/2018 0:35,India,Maharashtra,Mumbai,Positive
1018036343060828160,7/14/2018 0:35,Russia,,,Positive
1018037577012731904,7/14/2018 0:40,India,,,Positive
1018038580084727808,7/14/2018 0:44,France,,,Positive
1018039030041251840,7/14/2018 0:46,United States,,,Positive
1018039974074224641,7/14/2018 0:50,France,,,Positive
1018040165946855424,7/14/2018 0:51,Saudi Arabia,Ar Riyad,Riyadh,Positive
1018040206950141953,7/14/2018 0:51,India,West Bengal,Kolkata,Positive
1018040476300034048,7/14/2018 0:52,New Caledonia,Sud,Noumea,Positive
1018042417138819072,7/14/2018 1:00,Belgium,West Flanders,Brugge,Positive
1018042509677613057,7/14/2018 1:00,Australia,,,Positive
1018042590158082048,7/14/2018 1:00,Nigeria,Federal Capital Territory,Abuja,Positive
1018042846392340480,7/14/2018 1:01,Germany,Nordrhein-Westfalen,,Positive
1018042913199149056,7/14/2018 1:01,Ghana,Greater Accra,Accra,Positive
1018043126190100485,7/14/2018 1:02,United States,California,Irvine,Positive
1018043220868190210,7/14/2018 1:03,India,Maharashtra,Mumbai,Positive
1018043639736479744,7/14/2018 1:04,France,,,Positive
1018044592363638784,7/14/2018 1:08,Uganda,,,Positive
1018044625335078913,7/14/2018 1:08,South Africa,Western Cape,Cape Town,Positive
1018046873763024896,7/14/2018 1:17,United States,California,Los Angeles,Positive
1018046997918552064,7/14/2018 1:18,Germany,,,Positive
1018048447268651008,7/14/2018 1:23,India,,,Positive
1018049021255053312,7/14/2018 1:26,France,,,Positive
1018049167611088899,7/14/2018 1:26,France,Alsace,Strasbourg,Positive
1018050852542648320,7/14/2018 1:33,United Kingdom,Greater London,London,Positive
1018052251557027841,7/14/2018 1:39,Kenya,Nairobi,Nairobi,Positive
1018053075410542593,7/14/2018 1:42,France,,,Positive
1018053190359572481,7/14/2018 1:42,Philippines,Davao (Region XI),Davao,Positive
1018053234869485568,7/14/2018 1:43,Japan,Tokyo,Tokyo,Positive
1018053609995558912,7/14/2018 1:44,United States,Massachusetts,Boston,Positive
1018053817848516608,7/14/2018 1:45,India,Delhi,Delhi,Negative
1018054117015588864,7/14/2018 1:46,South Africa,Orange Free State,Welkom,Positive
1018054806169178112,7/14/2018 1:49,India,Karnataka,Mysore,Positive
1018055465916424192,7/14/2018 1:51,Uganda,,,Positive
1018056829643915264,7/14/2018 1:57,United Kingdom,South Western,Glasgow,Positive
1018057910352580608,7/14/2018 2:01,Germany,Hessen,Frankfurt,Positive
1018058156918956033,7/14/2018 2:02,South Africa,Orange Free State,Welkom,Positive
1018058340084019201,7/14/2018 2:03,Thailand,Central,,Positive
1018058510620413953,7/14/2018 2:03,France,Centre,Orleans,Positive
